,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,node_type
Israel,-0.052992754,-0.0055928496,0.10970858,0.05311,-0.14321816,-0.17261353,0.007559779,0.06918183,-0.088342294,-0.12898362,0.2949296,-0.15575822,0.0052571096,-0.04264643,0.0042236084,0.0145309465,-0.08491171,0.0659138,0.14669886,0.22153185,0.09958189,0.11605403,0.010196544,-0.18025517,0.2633224,-0.18688847,-0.16087626,0.11244336,0.01680251,0.08776957,0.06961353,0.015496741,-0.14155157,-0.0802127,-0.3060119,0.017293705,0.010206759,0.08522171,0.058952615,0.022379555,0.008665043,-0.049268257,0.110232405,-0.05169536,0.069189645,0.05938694,0.07449955,-0.08134543,-0.052960858,-0.041566517,0.12778592,-0.10006265,-0.08835428,-0.26518223,-0.051174726,0.14929481,0.084620625,-0.090979256,0.048330944,0.009777492,0.011599008,-0.15151902,-0.13201085,-0.07769177,country
Egypt,-0.010130289,-0.073272094,0.20841362,0.13428941,-0.1621622,-0.27493075,0.0639472,0.10200874,-0.17846808,-0.04185728,0.21029481,-0.15204963,0.05081312,-0.115679845,-0.10536005,0.05870004,-0.16305876,0.048807442,0.042935062,0.15432724,-0.008233768,0.10814978,0.0713931,-0.10062691,0.120207794,-0.06671835,-0.059148066,0.07715944,0.00035511094,0.14447685,0.085975185,0.07074135,-0.09797858,-0.10467392,-0.34036094,0.04290236,0.052954942,0.15236565,0.12876005,-0.031134868,0.15438552,0.020252625,-0.019578751,-0.12561554,-0.0021108233,-0.034187973,0.025470823,-0.06818646,-0.032229606,-0.06289585,0.12732708,-0.13978401,-0.038096026,-0.09615614,0.008222785,0.08464585,0.096778765,-0.0421696,0.022878136,-0.025329547,-0.04834811,-0.086299516,-0.26435,-0.05356754,country
Lebanon,0.043375812,-0.046730503,0.07000699,-0.05736913,-0.13362789,-0.22468282,-0.045461595,0.08902758,-0.18380275,0.0019555874,0.112267554,-0.08577754,0.021465015,-0.06130889,-0.003158948,0.116018504,-0.1698025,0.06839375,0.037734866,0.16202554,0.15017138,0.12877843,0.074300475,-0.07335551,0.2952018,-0.124725595,-0.044050053,0.13436288,0.115438126,0.011225267,0.18351132,0.049860656,-0.1546332,-0.1412536,-0.18298455,0.04612355,0.1537233,0.17283088,0.11831762,-0.08880188,0.08980555,0.026369225,0.1137209,-0.18449178,0.07530512,-0.020531515,0.015766973,-0.1706911,-0.11680324,-0.1152394,0.18746126,-0.020710506,-0.0713331,-0.15730466,-0.07552569,0.053646002,0.13708024,-0.001118773,-0.016865984,0.09772838,-0.088576145,-0.00920539,-0.028544916,-0.03437613,country
State of Palestine,0.0100310445,-0.0525959,0.16775537,0.057063922,-0.23071374,-0.29670003,0.06159695,0.13774197,-0.23119856,-0.042566653,0.1647562,-0.016125172,0.025698623,0.07060557,0.026825022,0.024860512,-0.14830223,0.04427092,-0.03751477,0.15589651,0.06188729,0.22014683,0.07222207,-0.019398268,0.30108494,-0.08178743,-0.03752447,0.043342233,0.082014225,0.08996383,0.17084408,-0.020779332,-0.07530297,-0.075043626,-0.24521378,0.062288508,0.030319162,0.15688619,0.18779996,-0.1100393,0.14766264,-0.008075847,0.16943794,-0.1993823,0.0024234734,0.054826114,-0.020966047,-0.029631259,-0.101043716,-0.06828618,0.12349871,-0.056134664,-0.11082236,-0.016613748,-0.09991733,0.05539859,0.013571816,-0.012230674,0.01109561,0.07625662,0.01470288,-0.049126513,-0.089430146,-0.090440206,country
People's Republic of China,-0.003753916,0.16435894,0.13490224,-0.11563546,0.076139815,-0.1216282,0.021016851,0.07324917,0.016702693,-0.019708522,0.37681308,-0.08312672,-0.17244607,0.0681312,0.030933052,0.045973282,0.0039833123,-0.20155333,-0.13279386,0.12367031,-0.056198876,0.018471895,0.09868448,0.032484014,0.14749217,0.09115045,0.032304395,0.108700536,0.13714984,-0.056495752,0.073998585,-0.050558455,-0.06595282,0.027223706,-0.09221611,0.09037291,-0.111479826,0.0459522,0.05299509,0.2564034,-0.12310738,0.011261927,-0.0768045,-0.38780957,-0.04452015,0.09369045,0.016737333,-0.1734607,0.015164599,-0.015991593,0.01220546,0.14284143,0.21700719,0.060736425,0.025212837,0.025925366,0.089776225,-0.19037989,0.121175505,0.086998664,-0.10129545,-0.07401495,0.019904228,0.07952628,country
Germany,0.095063664,-0.122355886,0.015185746,0.0034525094,0.0767024,-0.096222475,0.03600802,0.060812417,-0.11791157,-0.17835502,0.008053071,-0.12629837,-0.15966833,0.030432006,0.022497848,0.23518191,0.0025267291,-0.20779471,0.09590342,-0.00971262,0.12452148,0.12681042,0.10065547,-0.106669724,-0.012780143,-0.065634206,0.04216512,0.053123172,-0.07753393,-0.050534252,-0.025925433,-0.1384939,-0.12106091,-0.10416807,-0.1017176,0.020662231,0.06857333,0.078681216,0.16882834,0.19283763,-0.11575062,-0.07000921,0.044123337,-0.09359646,-0.08967618,-0.0097891595,0.052095402,-0.10344409,0.07627166,0.22444089,-0.10161098,0.03669499,0.07719734,0.018213956,0.079206586,0.03883443,0.0106154,-0.023278756,0.02902437,0.015188414,-0.009022679,-0.093835205,-0.081599995,0.1734354,country
Algeria,0.010745424,-0.10717997,0.11440262,-0.057833634,-0.2112506,-0.24881308,0.10554492,0.085902564,-0.09664608,-0.0948255,0.21391407,-0.029153913,-0.04324184,0.001653757,-0.015499445,0.09817749,-0.13375787,0.14715984,0.10106776,0.110247344,0.10275148,0.21800557,0.07579985,-0.19197212,0.19151682,-0.10834318,-0.067620255,-0.020159997,0.16288204,0.09664954,0.06740877,0.07600054,-0.0622187,-0.07884833,-0.21865888,0.039895527,0.0044898116,0.18245377,0.0883212,0.004068463,0.06708213,0.034536816,0.06546301,-0.12966181,0.01742479,0.15379009,0.027949737,-0.014487732,0.026065271,-0.09240785,0.20873295,-0.05826171,-0.040732026,-0.09393326,-0.040833022,0.0734346,0.12133524,-0.10678633,0.059195902,0.00841649,-0.00680506,-0.05618072,-0.16014522,-0.088417746,country
Morocco,0.07351001,-0.03286277,0.21757473,0.026426068,-0.18427902,-0.07750328,0.06980128,-0.010934609,-0.18200576,0.0078071067,0.21105842,-0.0414054,-0.022051036,-0.027720405,-0.0412343,0.08257494,-0.11012717,0.08611109,0.1977419,0.17857061,0.029093148,0.19350165,0.075840674,-0.19289905,0.17188112,-0.059296433,-0.01788355,0.03777643,0.0010954833,0.14652367,0.32943827,0.081523925,-0.12350302,-0.051959693,-0.26702422,0.07458195,0.07079236,0.09446178,0.19609578,0.03905298,0.084506,0.03790545,0.0816042,-0.1663157,-0.010025459,0.063638516,-0.056992274,-0.081044324,-0.05858005,-0.08784275,0.18048087,-0.03196585,-0.11485897,-0.13846892,-0.03296662,0.108067386,0.049524836,-0.051621515,0.045809913,0.043689717,-0.010755189,-0.024051938,-0.06561495,-0.060994692,country
Tunisia,0.08978636,-0.081681915,0.19870725,-0.02090496,-0.3017573,-0.14590439,0.02906303,0.17910095,-0.118514895,-0.1339834,0.23670927,-0.11987063,-0.05181681,-0.1855927,0.05727733,-0.05214377,0.0060041305,0.09997632,0.036839087,0.18943208,0.15250036,0.15647729,0.09843271,-0.112879016,0.1869134,-0.07283865,-0.07820591,0.1989771,0.10269047,0.020481667,0.08430635,0.007763954,-0.093098804,-0.06543694,-0.21940893,0.13203967,0.049013533,0.11325219,0.13935831,-0.120541595,0.14081146,-0.06164785,0.053809665,-0.08664497,0.082892455,0.033572845,-0.03534688,0.029676784,-0.009582502,-0.18225674,0.063092954,-0.060717955,-0.06283373,-0.09724801,-0.06569934,0.13685355,0.0016846916,-0.1527448,-0.013073766,-0.028944297,-0.05822599,-0.074899234,-0.111274175,-0.025793176,country
Iraq,0.12506089,-0.09586773,0.16320826,-0.11094421,-0.26481423,-0.17311683,0.043025415,0.026211755,-0.18387865,-0.020275757,0.22529168,-0.080174126,-0.016880607,0.05379306,-0.084543444,0.040351376,-0.10797945,0.15763491,0.1084226,0.17373423,0.042963468,0.081921875,0.012876468,-0.23815721,0.12573925,-0.16752298,-0.104523115,0.080458544,0.022032307,0.053927828,0.14898485,0.0011004881,-0.13406418,-0.089084126,-0.31106356,0.036661476,0.060487606,0.17773788,0.05725448,-0.007693891,0.13329203,-0.024366708,0.06099489,-0.15075848,-0.01730473,0.031881563,0.0074929604,-0.10628759,-0.03314069,-0.12223486,0.16653533,0.00387219,-0.03843931,-0.08217063,-0.06129166,0.048801064,0.08737639,-0.16977906,0.015812756,0.08521727,-0.005886059,-0.05061154,-0.117442325,-0.003504854,country
United Kingdom,0.016377902,-0.18424954,0.12452776,0.038423464,-0.013002333,-0.07386808,-0.0010521662,0.06716054,-0.17593549,-0.12425882,0.00036246842,-0.2402881,-0.19147944,0.035185296,-0.016492922,0.19175823,0.03649757,-0.07981116,0.038246315,0.0863074,0.027990196,0.06879494,0.18851696,-0.07813867,0.024350373,0.012884083,-0.039685447,0.027801152,-0.068552725,-0.015359072,0.08702933,-0.13520192,-0.05221958,-0.044432383,-0.10811531,-0.066712335,0.069321096,0.0414289,0.09133269,0.07507066,-0.112202585,-0.05824963,-0.012845066,-0.04824645,-0.061654475,-0.07143561,-0.012473561,-0.10082526,0.036883608,0.15006642,-0.0710495,0.20647287,0.0036209708,0.080344945,0.042885803,0.07062221,0.10048711,-0.023112465,0.08846461,-0.0109010795,0.020200694,-0.09989259,-0.1496373,-0.033950582,country
Syria,0.050295506,-0.07525166,0.08919043,0.06893852,-0.08775783,-0.1703198,-0.02527555,0.110360086,-0.15613848,-0.098321915,0.21688737,-0.10329875,-0.06777994,-0.103383705,0.044761177,0.011469634,-0.12802096,0.1306924,0.15214035,0.09101062,0.02801428,0.20692706,0.105019,-0.25872782,0.13878416,-0.13278747,-0.003782389,-0.031182261,0.050389178,-0.014128213,0.1194021,0.02783458,-0.16289394,-0.103297524,-0.31100452,0.09585305,0.025374113,0.23832096,0.15762421,-0.055767607,0.07484949,-0.048401516,0.027737092,-0.16410092,0.068312086,0.053929124,0.063038446,-0.16491793,-0.015312726,-0.0775728,0.12834485,-0.079496115,-0.010420973,-0.20594938,0.01356511,0.008623812,0.10454578,-0.010192242,0.023436133,-0.008408336,-0.064930215,0.031663377,-0.033799607,-0.10352624,country
